sources,id,description,date,location,latitude,longitude,graphic,associations,time
"['src2', 'src3', 'src4', 'src5', 'src6']",IOHGWA,Houses heavily damaged by a strike.,02/28/2025,Odessa,46.325673,30.628717,FALSE,['asc1'],00:00
"['src2', 'src7', 'src6']",ZNDX3A,Truck stop damaged by a strike.,02/28/2025,Odessa,46.316885,30.636955,FALSE,['asc2'],00:00
['src8'],KPJG21,"An educational center damaged after reported UAV attacks in the region
",12/19/2023,"Komyshany district, Kherson",46.62035,32.47516,FALSE,['asc3'],00:00
"['src9', 'src10', 'src11']",6AW7TC,A lyceum reported to be damaged after a drone strike.,03/06/2024,"Martove, Kharkiv Region

",49.935303,36.956315,FALSE,['asc3'],00:00
['src12'],TEK6WF,A 7-storey building damaged after reported strike.,01/03/2025,Kherson,46.643586,32.588995,FALSE,['asc1'],00:00
"['src13', 'src14', 'src15', 'src16', 'src17']",H2ILT3,A building damaged in a shelling of a city's residential area.,09/26/2024,"Kramatorsk, Donetsk region

",48.73332,37.605631,TRUE,['asc1'],00:00
['src18'],7141U8,A building of a mine damaged after a reported strike.,08/20/2024,"Myrnohrad, Donetsk region",48.26737,37.290798,FALSE,['asc4'],00:00
"['src19', 'src20', 'src21', 'src22', 'src23', 'src24', 'src25', 'src26', 'src27']",3J557P,Severely damaged children's clinic.,02/19/2025,"Odesa

",46.398528,30.712343,FALSE,['asc5'],00:00
"['src28', 'src29', 'src30', 'src31']",E6EOT8,A one year old killed by a FPV drone,07/09/2025,"Pravdyne, Kherson Oblast
",46.736543,32.190167,TRUE,"['asc1', 'asc6']",00:00
['src32'],53S1IF,School damaged following a reported strike,06/24/2025,Dnipro,48.480676,34.94569,FALSE,['asc3'],00:00
['src33'],2D1UIW,Damaged flat following a reported strike. ,12/17/2024,"Horlivka, Donetsk region",48.337642,37.97702,FALSE,['asc1'],00:00
['src34'],1DHTO1,Damaged residential building. ,12/17/2024,"Pokrovsk, Donetsk region",48.262777,37.18492,FALSE,[],00:00
['src35'],D2OXJS,At least one person reportedly killed following a strike on a residential area. ,12/24/2024,Kryvyi Rih,47.902076,33.338989,FALSE,[],00:00
"['src36', 'src37', 'src38']",S4TLR4,Damaged building following a reported strike. ,01/05/2025,"Lyman, Donetsk region",48.96463,37.822554,FALSE,[],00:00
"['src39', 'src40']",ZU3AAG,What appears to be a school is damaged following a reported strike. ,01/05/2025,Kherson,46.645709,32.629831,FALSE,[],00:00
"['src41', 'src42', 'src43']",X6BLR3,Damaged tractor following a reported strike. ,01/05/2025,Belgorod region,50.407241,36.466165,FALSE,['asc2'],00:00
"['src44', 'src45', 'src46', 'src47', 'src48']",97BV6P,Damaged residential building. ,01/04/2025,"Shakhtarsky, Pokrovsk",48.259938,37.185827,FALSE,[],00:00
['src49'],83WJ6J,Damaged vehicle following a reported strike. ,01/04/2025,"Shebekino, Belgorod region",50.362623,36.84912,FALSE,['asc2'],00:00
"['src50', 'src51', 'src52', 'src53']",D6VDKS,Damaged residential building following a reported strike. ,01/04/2025,Chernihiv,51.535833,31.308611,TRUE,[],00:00
"['src54', 'src55', 'src56']",7QJPTB,A residential building on fire following a reported strike. ,01/07/2025,"Semenivka, Chernihiv region",52.184066,32.581904,FALSE,['asc1'],00:00
['src57'],F66EN4,Damaged residential building. ,01/21/2025,"Pokrovsk, Donetsk region",48.279397,37.175616,FALSE,[],00:00
"['src58', 'src59', 'src60', 'src61', 'src62']",58NCZ0,Multiple vehicles and a building damaged following a reported strike. ,01/28/2025,Odesa,46.42267,30.767645,FALSE,[],00:00
"['src63', 'src64', 'src65', 'src66', 'src67']",CJ4G1J,Two women killed following a reported strike. ,01/28/2025,Mykolaiv,46.870376,32.059475,TRUE,['asc4'],00:00
"['src68', 'src69']",39MZ78,Damaged shop following a reported strike. ,02/04/2025,"Horlivka, Donetsk region",48.337464,37.969206,FALSE,[],00:00
"['src70', 'src71']",WXJY9P,Five people killed following a reported strike. ,02/04/2025,"Izium, Kharkiv region",49.191923,37.278356,TRUE,[],00:00
"['src72', 'src73']",YU2XGS,Multiple damaged vehicles following a reported strike. ,02/08/2025,"Makeevka, Donetsk region",48.042456,37.958979,TRUE,"['asc1', 'asc2']",00:00
"['src74', 'src75', 'src76', 'src77']",VZUDRT,A flat in a multi-storey residential building is on fire following a reported strike. ,02/18/2025,"Dolynska , Kirovohrad region",48.114532,32.780564,FALSE,['asc1'],00:00
"['src78', 'src79', 'src80']",E3MIHT,A shop and a vehicle damaged following a reported strike.,02/18/2025,"Makeevka, Donetsk region",48.040522,37.963793,FALSE,['asc7'],00:00
"['src81', 'src82']",AWJJTF,Residential buildings damaged following a reported strike. ,02/25/2025,Sumy,50.907095,34.825634,FALSE,[],00:00
['src83'],5CXCWW,Damaged hospital following a reported strike. ,03/01/2025,Kharkiv,50.007257,36.235007,FALSE,[],00:00
"['src84', 'src85']",7TBLMY,A building on fire following a reported strike. ,03/11/2025,"Shebekino, Belgorod region",50.41277,36.915279,FALSE,[],00:00
